"Check","Severity","Excluded","Type","Description","Details"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(115.0 mm, 70.0 mm): Segment on Edge.Cuts;@(131.15 mm, 79.545 mm): Segment of J2 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(134.0 mm, 95.0 mm): Segment on Edge.Cuts;@(131.15 mm, 95.565 mm): Segment of J2 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(100.0 mm, 105.0 mm): Segment on Edge.Cuts;@(97.28 mm, 72.055 mm): Segment of J1 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(100.0 mm, 105.0 mm): Segment on Edge.Cuts;@(107.76 mm, 103.025 mm): Segment of J1 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(100.0 mm, 106.0 mm): Segment on Edge.Cuts;@(97.28 mm, 107.975 mm): Segment of J3 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(100.0 mm, 106.0 mm): Segment on Edge.Cuts;@(107.76 mm, 138.945 mm): Segment of J3 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(115.0 mm, 106.0 mm): Segment on Edge.Cuts;@(131.15 mm, 115.545 mm): Segment of J4 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(134.0 mm, 131.0 mm): Segment on Edge.Cuts;@(131.15 mm, 131.565 mm): Segment of J4 on F.Silkscreen"
"Schematic parity","warning","False","footprint_symbol_mismatch","Footprint attributes don't match symbol: 'Exclude from bill of materials' settings differ","@(112.0 mm, 75.0 mm): Footprint H1"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'assemble' in footprint","@(112.0 mm, 75.0 mm): Footprint H1"
"Schematic parity","warning","False","footprint_symbol_mismatch","Footprint attributes don't match symbol: 'Exclude from bill of materials' settings differ","@(112.0 mm, 100.0 mm): Footprint H2"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'assemble' in footprint","@(112.0 mm, 100.0 mm): Footprint H2"
"Schematic parity","warning","False","footprint_symbol_mismatch","Footprint attributes don't match symbol: 'Exclude from bill of materials' settings differ","@(112.0 mm, 111.0 mm): Footprint H3"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'assemble' in footprint","@(112.0 mm, 111.0 mm): Footprint H3"
"Schematic parity","warning","False","footprint_symbol_mismatch","Footprint attributes don't match symbol: 'Exclude from bill of materials' settings differ","@(112.0 mm, 136.0 mm): Footprint H4"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'assemble' in footprint","@(112.0 mm, 136.0 mm): Footprint H4"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'assemble' in footprint","@(105.0 mm, 82.0 mm): Footprint J1"
"Schematic parity","warning","False","net_conflict","Pad missing net given by schematic (/SH)","@(104.7 mm, 75.04 mm): PTH pad SH [<no net>] of J1"
"Schematic parity","warning","False","net_conflict","Pad missing net given by schematic (/SH)","@(104.7 mm, 100.04 mm): PTH pad SH [<no net>] of J1"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'DistribPart#' in footprint","@(120.0 mm, 92.0 mm): Footprint J2"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'assemble' in footprint","@(105.0 mm, 129.0 mm): Footprint J3"
"Schematic parity","warning","False","net_conflict","Pad missing net given by schematic (/SH)","@(104.7 mm, 110.96 mm): PTH pad SH [<no net>] of J3"
"Schematic parity","warning","False","net_conflict","Pad missing net given by schematic (/SH)","@(104.7 mm, 135.96 mm): PTH pad SH [<no net>] of J3"
"Schematic parity","warning","False","footprint_symbol_field_mismatch","Missing symbol field 'DistribPart#' in footprint","@(120.0 mm, 128.0 mm): Footprint J4"
