"Designator","MPN","Quantity Per PCB","Link"
"C210,C211","0402CG120J500NT","2","https://jlcpcb.com/partdetail/1899-0402CG120J500NT/C1547"
"C206,C207","0402CG200J500NT","2","https://jlcpcb.com/partdetail/1906-0402CG200J500NT/C1554"
"C204,C205,C208,C213,C214,C215,C216,C217,C301,C302,C303,C304,C305,C403,C404","CL05B104KB54PNC","15","https://jlcpcb.com/partdetail/291005-CL05B104KB54PNC/C307331"
"C401,C402","CL10A105KB8NNNC","2",""
"C201,C202,C203","CL21A106KAYNNNE","3","https://jlcpcb.com/partdetail/16532-CL21A106KAYNNNE/C15850"
"D201","1N4148WS","1","https://jlcpcb.com/partdetail/2485-1N4148WS/C2128"
"D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D202,D401","KT-0603W KT-0603R","34","https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603R/C2286"
"FB201","GZ2012D101TF","1","https://jlcpcb.com/partdetail/Sunlord-GZ2012D101TF/C1015"
"FB401","GZ1608D601TF","1",""
"J401","10118194-0001LF","1",""
"Q201","SI2301CDS-T1-GE3","1",""
"R203","1206W4F220JT5E","1","https://jlcpcb.com/partdetail/18646-1206W4F220JT5E/C17958"
"R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R204,R205,R206,R401","0402WGF1001TCE","36","https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702"
"R133,R134","0402WGF4701TCE","2",""
"R201","0402WGF1002TCE","1","https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744"
"R202","0402WGF1004TCE","1","https://jlcpcb.com/partdetail/26826-0402WGF1004TCE/C26083"
"SW301,SW302,SW303,SW304,SW305","TS-1187A-B-A-B","5",""
"U201","AMS1117-3.3","1","https://jlcpcb.com/partdetail/Advanced_MonolithicSystems-AMS1117_33/C6186"
"U403","CH340N","1",""
"U203,U204","M24C64-RMN6TP","2","https://jlcpcb.com/partdetail/STMicroelectronics-M24C64RMN6TP/C79988"
"U101,U102","PCA9539PW","2",""
"U202","STM32F103C8T6","1",""
"U401","USBLC6-2SC6","1",""
"U402","XC6206P332MR-G","1",""
"Y202","Q13FC13500004","1","https://jlcpcb.com/partdetail/SeikoEpson-Q13FC13500004/C32346"
"Y201","X50328MSB2GI","1","https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X50328MSB2GI/C115962"
