"Comment","Designator","Footprint","LCSC Part #"
"12p","C210,C211","C_0402_1005Metric","C1547"
"20p","C206,C207","C_0402_1005Metric","C1554"
"100n","C204,C205,C208,C213,C214,C215,C216,C217,C301,C302,C303,C304,C305,C403,C404","C_0402_1005Metric","C307331"
"1µ","C401,C402","C_0603_1608Metric","C15849"
"10µ","C201,C202,C203","C_0805_2012Metric","C15850"
"1N4148WS","D201","D_SOD-323","C2128"
"LED","D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D202,D401","LED_0603_1608Metric","C2290 C2286"
"Ferrite","FB201","L_0805_2012Metric","C1015"
"FerriteBead","FB401","L_0603_1608Metric","C1002"
"USB_B_Micro","J401","USB_Micro-B_Amphenol_10118193-0001LF_Horizontal","C132563"
"SI2301CDS-T1-GE3","Q201","SOT-23","C10487"
"22","R203","R_1206_3216Metric","C17958"
"1k","R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R204,R205,R206,R401","R_0402_1005Metric","C11702"
"4k7","R133,R134","R_0402_1005Metric","C25900"
"10k","R201","R_0402_1005Metric","C25744"
"1M","R202","R_0402_1005Metric","C26083"
"SW_Push","SW301,SW302,SW303,SW304,SW305","TS-1187A-B-A-B","C318884"
"AMS1117-3.3","U201","SOT-223-3_TabPin2","C6186"
"CH340N","U403","JEITA_SOIC-8_3.9x4.9mm_P1.27mm","C2977777"
"M24C64-RMN","U203,U204","SOIC-8_3.9x4.9mm_P1.27mm","C79988"
"PCA9539xPW","U101,U102","TSSOP-24_4.4x7.8mm_P0.65mm","C129516"
"STM32F103C8Tx","U202","LQFP-48_7x7mm_P0.5mm","C8734"
"USBLC6-2SC6","U401","SOT-23-6","C2827654"
"XC6206P332MR","U402","SOT-23-3","C5446"
"32k","Y202","Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
"8MHz","Y201","Crystal_SMD_5032-2Pin_5.0x3.2mm","C115962"
