Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C201","10µ","C_0805_2012Metric",215.4000,-138.1325,0.0000,top
"C202","10µ","C_0805_2012Metric",215.4000,-141.6325,0.0000,top
"C203","10µ","C_0805_2012Metric",205.1500,-131.6325,90.0000,top
"C204","100n","C_0402_1005Metric",229.2500,-97.2500,180.0000,top
"C205","100n","C_0402_1005Metric",206.9000,-131.6325,90.0000,top
"C206","20p","C_0402_1005Metric",187.0000,-96.7500,90.0000,top
"C207","20p","C_0402_1005Metric",187.0000,-99.5000,270.0000,top
"C208","100n","C_0402_1005Metric",193.5000,-101.0000,180.0000,top
"C210","12p","C_0402_1005Metric",195.5000,-92.5000,270.0000,top
"C211","12p","C_0402_1005Metric",194.0000,-92.5000,270.0000,top
"C213","100n","C_0402_1005Metric",197.7300,-93.7500,0.0000,top
"C214","100n","C_0402_1005Metric",206.0000,-97.7500,270.0000,top
"C215","100n","C_0402_1005Metric",202.8000,-106.2800,270.0000,top
"C216","100n","C_0402_1005Metric",196.5000,-108.3000,180.0000,top
"C217","100n","C_0402_1005Metric",181.7000,-96.3800,270.0000,top
"C301","100n","C_0402_1005Metric",145.5000,-105.0000,90.0000,top
"C302","100n","C_0402_1005Metric",135.7500,-115.0000,90.0000,top
"C303","100n","C_0402_1005Metric",145.5000,-125.0000,90.0000,top
"C304","100n","C_0402_1005Metric",155.5000,-115.0000,90.0000,top
"C305","100n","C_0402_1005Metric",145.5000,-115.0000,90.0000,top
"C401","1µ","C_0603_1608Metric",246.5000,-30.2500,0.0000,top
"C402","1µ","C_0603_1608Metric",245.2500,-37.7500,180.0000,top
"C403","100n","C_0402_1005Metric",245.2500,-36.2500,180.0000,top
"C404","100n","C_0402_1005Metric",233.0000,-32.2500,180.0000,top
"D101","LED","LED_0603_1608Metric",237.5000,-115.0000,180.0000,top
"D102","LED","LED_0603_1608Metric",237.5000,-55.0000,180.0000,top
"D103","LED","LED_0603_1608Metric",237.5000,-95.5000,180.0000,top
"D104","LED","LED_0603_1608Metric",230.2486,-107.9810,0.0000,top
