"Check","Severity","Excluded","Type","Description","Details"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(115.0 mm, 70.0 mm): Segment on Edge.Cuts;@(131.15 mm, 79.545 mm): Segment of J2 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(134.0 mm, 95.0 mm): Segment on Edge.Cuts;@(131.15 mm, 95.565 mm): Segment of J2 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(100.0 mm, 105.0 mm): Segment on Edge.Cuts;@(97.28 mm, 72.055 mm): Segment of J1 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(100.0 mm, 105.0 mm): Segment on Edge.Cuts;@(107.76 mm, 103.025 mm): Segment of J1 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(100.0 mm, 106.0 mm): Segment on Edge.Cuts;@(97.28 mm, 107.975 mm): Segment of J3 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(100.0 mm, 106.0 mm): Segment on Edge.Cuts;@(107.76 mm, 138.945 mm): Segment of J3 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(115.0 mm, 106.0 mm): Segment on Edge.Cuts;@(131.15 mm, 115.545 mm): Segment of J4 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(134.0 mm, 131.0 mm): Segment on Edge.Cuts;@(131.15 mm, 131.565 mm): Segment of J4 on F.Silkscreen"
"Schematic parity","warning","False","net_conflict","No pad found for pin SH (/SH) in schematic","@(105.0 mm, 82.0 mm): Footprint J1"
"Schematic parity","warning","False","net_conflict","No pad found for pin SH (/SH) in schematic","@(105.0 mm, 129.0 mm): Footprint J3"
